Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 12, Tampa, Florida",12-RC-342732,"Universal Protection Service, LLC d/b/a Allied Universal Security Services",Closed,05/21/2024,07/03/2024,"Certific. of Representative",Tampa,FL,A,"Single Labor Organization",Initial,06/18/2024,70,,"International Union, Security, Police and Fire Professionals of America (SPFPA)",14,,,,,9,23,,,,"International Union, Security, Police and Fire Professionals of America (SPFPA)","Included: All full-time and regular part-time armed and unarmed security officers employed by the Employer on its Port of Tampa Account and assigned to work at the following addresses: 2002 Maritime Blvd., Tampa, Florida, 1101 Channelside Drive Tampa, Florida, 1710 McCloskey Blvd., Tampa, Florida, 3420 Port Sutton Road, Tampa, Florida and 4008 Pendola Point Road, Tampa, Florida. 

Excluded: All office clerical employees, professional employees and supervisors as defined in the Act.",,,
"Region 01, Boston, Massachusetts",01-RC-343482,"Starbucks Corporation",Closed,06/03/2024,06/28/2024,"Certific. of Representative",Brighton,MA,A,"Single Labor Organization",Initial,06/18/2024,10,,"Workers United",7,,,,,3,10,,,,"Workers United","Included: All full-time and regular part-time Baristas and Shift Managers employed by the Employer at its facility located at 470 Washington St., Brighton, MA 02135.
Excluded: All store managers, assistant store managers, office clericals, guards, professional employees and supervisors as defined by the Act, and all other employees
",,,
"Region 31, Los Angeles, California",31-RC-343592,"Starbucks Corporation",Closed,06/04/2024,06/26/2024,"Certific. of Representative",Burbank,CA,A,"Single Labor Organization",Initial,06/18/2024,19,,"Workers United, affiliated with Service Employees International Union (SEIU)",13,,,,,4,17,,,,"Workers United, affiliated with Service Employees International Union (SEIU)","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its facility located at 1190 W Alameda Ave., Burbank, CA 91506.

Excluded: All other employees, all store managers, assistant store managers, office clericals, guards, professional employees, and supervisors as defined in the Act, as amended.",,,
"Region 06, Pittsburgh, Pennsylvania",06-RC-343619,"Starbucks Corporation",Closed,06/04/2024,06/27/2024,"Certific. of Representative",Pittsburgh,PA,A,"Single Labor Organization",Initial,06/18/2024,11,,"Workers United a/w SEIU",9,,,,,,9,,1,,"Workers United a/w SEIU","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by
the Employer at its facility located 5600 Walnut Street, Pittsburgh, PA 15232 (Store 778).

Excluded: All store managers, assistant store managers, office clericals, guards, professional employees and supervisors as defined by the Act, and all other employees.
",,,
"Region 05, Baltimore, Maryland",05-RC-343660,"Starbucks Corporation",Closed,06/04/2024,06/27/2024,"Certification of Results","Riverdale Park",MD,A,"Single Labor Organization",Initial,06/18/2024,11,1,"Mid-Atlantic Regional Joint Board, Workers United a/w Service Employees International Union",3,,,,,4,7,,,,,"All full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility currently located at 4501 Van Buren Street, University Park, Maryland, but excluding all assistant store managers, store managers, office clerical employees, guards, and supervisors as defined in the Act.",,,
"Region 15, New Orleans, Louisiana",15-RC-343607,"Starbucks Corporation",Closed,06/04/2024,06/26/2024,"Certific. of Representative",Jackson,MS,A,"Single Labor Organization",Initial,06/18/2024,14,,"Workers United Southern Regional Joint Board",12,,,,,,12,,,,"Workers United Southern Regional Joint Board","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its facility located at 1220 E Northside Dr., Maywood Mart, Jackson, MS 39211.
Excluded: All store managers, assistant store managers, office clericals, guards, professional employees and supervisors as defined by the Act, and all other employees.",,,
"Region 25, Indianapolis, Indiana",25-RC-343662,"Starbucks Corporation",Closed,06/04/2024,06/27/2024,"Certific. of Representative",Bloomington,IN,A,"Single Labor Organization",Initial,06/18/2024,25,,"Chicago and Midwest Regional Joint Board, Workers United/SEIU",15,,,,,1,16,,,,"Chicago and Midwest Regional Joint Board, Workers United/SEIU","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its facility located at 110 S. Indiana Ave., Bloomington, Indiana.

Excluded: All store managers, assistant store managers, office clericals, guards, professional employees and supervisors as defined by the Act, and all other employees.",,,
"Region 02, New York, New York",02-RC-343644,"Starbucks Corporation",Closed,06/05/2024,06/27/2024,"Certific. of Representative","New York",NY,A,"Single Labor Organization",Initial,06/18/2024,11,,"Starbucks Workers United, affiliated with SEIU",7,,,,,1,8,,,,"Starbucks Workers United, affiliated with SEIU","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its Store #14318 located at 130 Fulton Street, New York, NY 10038, who were employed during the payroll period ending June 9, 2024.

Excluded: All store managers, assistant store managers, office clericals, confidential employees, guards, professional employees and supervisors as defined by the Act.",,,
"Region 02, New York, New York",02-RC-343666,"Starbucks Corporation",Closed,06/05/2024,06/27/2024,"Certific. of Representative","New York",NY,A,"Single Labor Organization",Initial,06/18/2024,13,12,"Starbucks Workers United, affiliated with SEIU",12,,,,,,,,,,"Starbucks Workers United, affiliated with SEIU","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its Store #7878 located at 155 Water Street, New York, NY 10038.
Excluded: All store managers, assistant store managers, office clericals, confidential employees, guards, professional employees and supervisors as defined by the Act.",,,
"Region 02, New York, New York",02-RC-343712,"Starbucks Corporation",Closed,06/05/2024,06/27/2024,"Certific. of Representative","New York",NY,A,"Single Labor Organization",Initial,06/18/2024,20,,"Starbucks Workers United, affiliated with SEIU",17,,,,,1,18,,,,"Starbucks Workers United, affiliated with SEIU","Included: 
All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its Store #60440 located at 444 Broadway, New York, NY 10013.

Excluded: 
All store managers, assistant store managers, office clericals, confidential employees, guards, professional employees and supervisors as defined by the Act.",,,
"Region 12, Tampa, Florida",12-RM-343576,"Florida Public Utilities Company",Closed,06/03/2024,07/02/2024,"Certification of Results","Winter Haven",FL,A,"Single Labor Organization",Initial,06/18/2024,3,,"United Food Commercial Workers International Union, Local 1625, AFL-CIO",1,,,,,2,3,,,,,"Included: All full-time and regular part-time propane service technicians and propane delivery drivers, employed by the Employer at its facility located at 1705 7th Street SW, Winter Haven, Florida. 

Excluded: All other employees, natural gas operations technicians, operations assistants, engineering technicians, office clerical employees, professional employees, managerial employees, guards and supervisors as defined by the Act.",,,
"Region 12, Tampa, Florida",12-RM-342051,"Florida Public Utilities Company",Closed,05/13/2024,07/02/2024,"Certification of Results","Winter Haven",FL,A,"Single Labor Organization",Initial,06/18/2024,7,,"United Food Commercial Workers Union, Local 1625",2,,,,,5,7,,,,,"Included: All full-time and regular part-time natural gas operations technicians employed by the Employer at its facility located at 1705 7th Street SW., Winter Haven, Florida, the only location involved herein.

Excluded: All other employees, operations assistants, engineering technicians, propane service technicians, propane delivery drivers, office clerical employees, professional employees, managerial employees, guards and supervisors as defined by the Act.",,,
"Region 15, New Orleans, Louisiana",15-RC-339381,"The Administrators of the Tulane Educational Fund",Closed,04/04/2024,06/26/2024,"Certific. of Representative","New Orleans",LA,A,"Single Labor Organization",Initial,06/18/2024,295,8,"Workers United Affiliated with Service Employees International Union",146,,,,,29,175,,57,,"Workers United Affiliated with Service Employees International Union","Included: All Professors of Practice, Visiting Professors, Instructors, and Lecturers employed by Tulane University in the schools of Liberal Arts, Science and Engineering, Architecture, Professional Advancement, and Business.
Excluded: All Deans regardless of rank/status (e.g., Deans, Assistant/Associate Deans, Interim Assistant/Associate Deans, Interim Deans, Senior Associate Deans), Executive Directors, Tenured and Tenure-Track Faculty, Adjunct Faculty, Non-Tenure Track Faculty in the schools of Public Health, Medicine, Social Work, and Law, all other employees employed by Tulane University, managers, confidential employees, office clerical employees, guards, and supervisors as defined by the Act.
Others permitted to vote: The parties have agreed that the employees who hold the below listed job classifications may vote in the election but their ballots will be challenged since their eligibility has not been resolved:

•	Academic Directors
•	Administrative Directors
•	Area Coordinators
•	Assistant Directors
•	Assistant Faculty Directors
•	Associate Department Chairs
•	Associate Directors
•	Associate Program Directors
•	Coordinators
•	Curricular Directors
•	Department Chairs
•	Directors
•	Faculty Directors
•	Program Coordinators
•	Program Directors
•	University Senate Committee Chairs
•	University Senate Officers (e.g., Chair, Vice Chair, etc.)
•	University Senators
",,,
"Region 06, Pittsburgh, Pennsylvania",06-RC-342231,"15 Wesner Lane PECC Operating Company, LP d/b/a Pediatric Specialty Care Medical Day at Danville",Closed,05/14/2024,10/08/2024,"Certific. of Representative",Danville,PA,A,"Single Labor Organization",Initial,06/18/2024,23,,"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS INTERNATIONAL UNION, AFL-CIO, CLC",13,,,,,,13,,,,"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKERS INTERNATIONAL UNION, AFL-CIO, CLC","VOTING GROUP - UNIT A (PROFESSIONAL UNIT):
All full time and regular part time employees in the Registered Nurse job title employed at the Employer's facility located at 15 Wesner Lane, Danville, Pennsylvania 17821, excluding all other employees, non-professional employees, office clerical employees, guards, managers, and supervisors as defined by the Act.

VOTING GROUP - UNIT B (NON-PROFESSIONAL UNIT):
All full time and regular part time Child Care Workers, Drivers, and Transport LPN job titles employed at the Employer's facility located at 15 Wesner Lane, Danville, Pennsylvania 17821, excluding all other employees, professional employees, office clerical employees, guards, managers and supervisors as defined by the Act.

Others permitted to vote: The parties have agreed that Registered Nurse Supervisors may vote in the election but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in these classifications or groups are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individuals will be resolved, if necessary, following the election. Registered Nurse Supervisors will receive the same ballot as professional employees in Unit A.","VOTING GROUP - UNIT B (NON-PROFESSIONAL UNIT):
All full time and regular part time Child Care Workers, Drivers, and Transport LPN job titles employed at the Employer's facility located at 15 Wesner Lane, Danville, Pennsylvania 17821, excluding all other employees, professional employees, office clerical employees, guards, managers and supervisors as defined by the Act.","VOTING GROUP - UNIT B (NON-PROFESSIONAL UNIT):
All full time and regular part time Child Care Workers, Drivers, and Transport LPN job titles employed at the Employer's facility located at 15 Wesner Lane, Danville, Pennsylvania 17821, excluding all other employees, professional employees, office clerical employees, guards, managers and supervisors as defined by the Act.","VOTING GROUP - UNIT B (NON-PROFESSIONAL UNIT):
All full time and regular part time Child Care Workers, Drivers, and Transport LPN job titles employed at the Employer's facility located at 15 Wesner Lane, Danville, Pennsylvania 17821, excluding all other employees, professional employees, office clerical employees, guards, managers and supervisors as defined by the Act."
"Region 10, Atlanta, Georgia",10-RC-340892,"Democracy North Carolina",Closed,04/26/2024,06/26/2024,"Certific. of Representative",Morrisville,NC,A,"Single Labor Organization",Initial,06/17/2024,16,,"Communications Workers of America",10,,,,,,13,,3,,"Communications Workers of America","All full-time and regular part-time Development Associates, Digital Associates, Digital Campaigns Associates, Election Protection Managers, Engagement Evaluation Specialists, Policy & Program Associates, Program Managers - Nonprofit & Direct Service Engagement, Program Managers - Young Adult Engagement, Regional Organizers, Senior Research Analysts, and Volunteer Program Associates employed by the Employer in the State of North Carolina; but excluding all guards and supervisors as defined in the Act.",,,
"Region 02, New York, New York",02-RC-341819,"Timberlake Studios, Inc.",Closed,05/08/2024,06/26/2024,"Certific. of Representative","New York",NY,A,"Single Labor Organization",Initial,06/17/2024,15,1,"Theatrical Wardrobe Union Local 764, IATSE",10,,,,,2,12,,1,,"Theatrical Wardrobe Union Local 764, IATSE","Included: All regular full-time and regular part-time drapers,  pattern makers, first
hands, stitchers, shoppers, designers/craftspeople, and project managers/cutters 
employed by Timberlake Studios, Inc.

Excluded: All other employees, including  business managers, cleaners,
business office clerical employees, guards, managers, and supervisors as defined by the 
National Labor Relations Act. 
",,,
"Region 18, Minneapolis, Minnesota",18-RC-341887,"Meriter Hospital, Inc.",Closed,05/08/2024,06/25/2024,"Certification of Results",Madison,WI,A,"Single Labor Organization",Initial,06/17/2024,13,,"SEIU Wisconsin",13,,,,,,13,,,,"SEIU Wisconsin","Included: All full-time and regular part-time Registered Nurse – Lactation Consultants employees employed by the Employer at its facility located at 202 S. Park Street, Madison, Wisconsin, 53715.

Excluded: All nurses employed in the following classifications: staff educator, home clinical nurse specialist, health service nurse, epidemiologist, EMT coordinator/instructor, systems coordinator, counselor, perinatal outreach education coordinator, utilization review coordinator, confidential employees, managerial employees, and guards and supervisors as defined in the National Labor Relations Act, and all other employees.
",,,
"Region 01, Boston, Massachusetts",01-RC-341876,"Eversource Energy Service Company",Closed,05/09/2024,06/26/2024,"Certific. of Representative",Berlin,CT,A,"Single Labor Organization",Initial,06/17/2024,14,,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 457",9,,,,,5,14,,,,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL 457","All full time and regular part time test technicians, test specialist b, test technician a, test senior specialist employed by the Employer at its Berlin, Connecticut facility; but excluding, technical leads, engineers, records technician a, clerical employees, and guards, professional employees and supervisors as defined in the Act.",,,
"Region 08, Cleveland, Ohio",08-RC-342539,"Astoria Place of Waterville, LLC, d/b/a Heritage Village of Waterville",Closed,05/17/2024,07/17/2024,"Certific. of Representative",Waterville,OH,A,"Single Labor Organization",Initial,06/17/2024,11,,"SEIU District 1199 WV/KY/OH The Healthcare and Social Service Union, CTW, CLC",5,,,,,2,7,,,,"SEIU District 1199 WV/KY/OH The Healthcare and Social Service Union, CTW, CLC","All full-time, regular part-time and PRN Licensed Practical Nurses (LPNs) employed by the Employer at its facility located at 555 Anthony Wayne Trail, Waterville, Ohio, but excluding all represented employees, confidential employees, managerial employees, guards and supervisors as defined by the Act.",,,
"Region 01, Boston, Massachusetts",01-RC-342654,"Hyatt Corporation d/b/a Hyatt Regency Boston",Closed,05/21/2024,06/26/2024,"Certific. of Representative",Boston,MA,A,"Single Labor Organization",Initial,06/17/2024,52,,"UNITE HERE Local 26",37,,,,,11,48,,2,,"UNITE HERE Local 26","Included: All full-time and regular part-time Banquet Servers, Convention Services Housepersons, Restaurant Servers, Restaurant Server Assistants, Baristas, Bartenders, Front Desk Agents, Night Auditors, Concierge, Door/Bell Attendants, Banquet Cooks, Line Cooks, Cafeteria Cooks, and Cafeteria Attendants.
Also permitted to vote: The parties agree that the stewarding supervisor may vote in the election, but their ballot(s) will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individual(s) in this classification or group are included in, or excluded from, the bargaining unit. The eligibility or inclusion of these individual(s), if any, will be resolved, if necessary, following the election. 

Excluded: All purchasing and receiving employees, engineering employees, housekeeping employees, stewarding employees employed by a third party, front office supervisors, food and beverage supervisors, catering coordinators, reservations employees, and all managers, administrative employees, professionals, guards, and supervisors as defined in the Act.
",,,
"Region 32, Oakland, California",32-RC-342690,"Hertz Transporting Incorporated",Closed,05/21/2024,06/26/2024,"Certific. of Representative",Fresno,CA,A,"Single Labor Organization",Initial,06/17/2024,6,,"Teamsters Local 431, International Brotherhood of Teamsters",4,,,,,1,5,,,,"Teamsters Local 431, International Brotherhood of Teamsters","All regular part-time transporters employed by the Employer at or from its facility located at or from 5074 E. Anderson Ave. #106, Fresno, CA 93727,excluding all other employees, including but not limited to Vehicle Service Attendants, Mechanics, Customer Service Representatives, Instant Return Representatives, any employees represented by a labor organization in any other bargaining unit, managers, confidential employees, office clerical employees, guards, and supervisors as defined by the Act.

Also eligible to vote are all employees in the unit who have worked an average of four (4) hours or more per week during the 13 weeks immediately preceding the eligibility date for the election.",,,
"Region 10, Atlanta, Georgia",10-RC-343613,"Starbucks Corporation",Closed,06/04/2024,06/26/2024,"Certific. of Representative",Newberry,SC,A,"Single Labor Organization",Initial,06/17/2024,14,,"Workers United, Southern Regional Joint Board",10,,,,,1,11,,,,"Workers United, Southern Regional Joint Board","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its facility located at 1216 Wilson Road, Newberry, South Carolina 29108.

Excluded: All other employees, store managers, assistant store managers, office clerical employees, professional employees, guards, and supervisors as defined by the Act.",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-343643,"Starbucks Corporation",Closed,06/04/2024,06/27/2024,"Certific. of Representative",Media,PA,A,"Single Labor Organization",Initial,06/17/2024,23,,"Workers United, affiliated with Service Employees International Union",15,,,,,5,20,,,N,"Workers United, affiliated with Service Employees International Union","Included: All full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility located at 501 E. Baltimore Ave., Media, PA 19063.

Excluded: All other employees, including office clericals and guards, store managers, assistant store managers, and supervisors as defined by the Act.
",,,
"Region 27, Denver, Colorado",27-RC-343657,"Starbucks Corporation",Closed,06/04/2024,06/25/2024,"Certific. of Representative","South Jordan",UT,A,"Single Labor Organization",Initial,06/17/2024,13,,"Chicago & Midwest Regional Joint Board, Workers United/SEIU",11,,,,,,11,,,,"Chicago & Midwest Regional Joint Board, Workers United/SEIU","Included: All full-time and regular part-time baristas and shift supervisors employed by
the Employer at its Store No. 63780 located in South Jordan, UT.
Excluded: All Store Managers, Assistant Store Managers, office clerical employees, confidential 
employees, managerial employees, guards, professional employees and
supervisors as defined in the Act.
",,,
"Region 20, San Francisco, California",20-RM-342909,"Lanai Resorts, LLC",Closed,05/23/2024,07/03/2024,"Certific. of Representative","Lanai City",HI,A,"Single Labor Organization",Initial,06/17/2024,20,,"International Longshore & Warehouse Union,  Local 142",19,,,,,1,20,,,,"International Longshore & Warehouse Union,  Local 142","Included: All full-time, regular part time, and regular on-call employees employed by the Employer at the Richard's Market 434 8th Street location in Lana'i City, Hawai'i. 
Excluded: All other employees including guards, managers, confidential employees, and supervisors as defined by the Act.",,,
"Region 12, Tampa, Florida",12-RC-343663,"Starbucks Corporation",Closed,06/04/2024,07/02/2024,"Certific. of Representative",Pinecrest,FL,A,"Single Labor Organization",Initial,06/16/2024,16,,"Workers United, Southern Regional Joint Board",12,,,,,1,13,,,,"Workers United, Southern Regional Joint Board","All full-time and regular part-time baristas and shift supervisors employed by the Employer at its facility located at 9055 S. Dixie Highway, Pinecrest, FL 33156; excluding: all other employees, store managers, assistant store manager, office clerical employees, guards, professional employees and supervisors as defined by the Act.",,,
"Region 05, Baltimore, Maryland",05-RC-339801,"1199SEIU United Healthcare Workers East",Closed,04/11/2024,06/25/2024,"Certific. of Representative",Baltimore,MD,A,"Single Labor Organization",Initial,06/14/2024,229,16,"Washington-Baltimore News Guild, Local 32035 a/w The News Guild, Communications Workers of America, AFL-CIO, CLC",121,,,,,26,147,,21,,"Washington-Baltimore News Guild, Local 32035 a/w The News Guild, Communications Workers of America, AFL-CIO, CLC","VOTING GROUP A – PROFESSIONAL EMPLOYEES
All full-time and regular part-time in-house professional staff employees employed by the Employer, but excluding all other employees, non-professional employees, elected and appointed officers, organizing staff, field staff, joint employees/contract administrators, temporary employees, casual employees, confidential employees, guards, managerial employees and supervisors as defined by the Act. 

Others permitted to vote:  The parties have agreed that the following individuals may vote in the election but their ballots will be challenged since their eligibility has not yet been resolved: Network Manager Damone Broderick (Group A); Assistant Director of Applications Brijesh Shah (Group A); Assistant Director Saneel Tavkar (Group A); Help Desk Coordinator Hamid Touzani (Group A); and Senior Accountant Yan Ping Mai (Group A).  No decision has been made regarding whether the individuals in this classification or group are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, necessary, following the election.","VOTING GROUP B – NON-PROFESSIONAL EMPLOYEES
All full-time and regular part-time in-house non-professional staff employees employed by the Employer, but excluding all other employees, professional employees, elected and appointed officers, organizing staff, field staff, joint employees/contract administrators, temporary employees, casual employees, confidential employees, guards, managerial employees and supervisors as defined by the Act.

Others permitted to vote:  The parties have agreed that the following individuals may vote in the election but their ballots will be challenged since their eligibility has not yet been resolved: Executive Secretary Jomaive Alvarez (Group B); Administrative Assistant Crystal Cepeda (Group B); Executive Secretary Jasnery Cruz (Group B); Executive Secretary Virginia Diaz (Group B); Executive Secretary Carlene Gele (Group B); Senior Graphic/Media Coordinator Regina Heimbrich (Group B); Executive Administrative Assistant Julissa Jerez (Group B); Executive Administrative Assistant Delicia Jones-Hodnett (Group B); Executive Secretary Veronica Moreno (Group B); Executive Secretary Jeffrey Morrisey (Group B); Executive Assistant Gina Newton (Group B); Coordinator Clayton Novack (Group B); Executive Secretary Janelis Perez (Group B); Administrative Assistant Diana Pico (Group B); Executive Secretary Kate Resto (Group B); Press Secretary Edna (Rose) Ryan (Group B); Executive Administrative Assistant Regine Thurin (Group B); Administrative Assistant Carla Verdacias (Group B);and Executive Secretary Angeal Wagner (Group B).  No decision has been made regarding whether the individuals in this classification or group are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, necessary, following the election.","VOTING GROUP B – NON-PROFESSIONAL EMPLOYEES
All full-time and regular part-time in-house non-professional staff employees employed by the Employer, but excluding all other employees, professional employees, elected and appointed officers, organizing staff, field staff, joint employees/contract administrators, temporary employees, casual employees, confidential employees, guards, managerial employees and supervisors as defined by the Act.

Others permitted to vote:  The parties have agreed that the following individuals may vote in the election but their ballots will be challenged since their eligibility has not yet been resolved: Executive Secretary Jomaive Alvarez (Group B); Administrative Assistant Crystal Cepeda (Group B); Executive Secretary Jasnery Cruz (Group B); Executive Secretary Virginia Diaz (Group B); Executive Secretary Carlene Gele (Group B); Senior Graphic/Media Coordinator Regina Heimbrich (Group B); Executive Administrative Assistant Julissa Jerez (Group B); Executive Administrative Assistant Delicia Jones-Hodnett (Group B); Executive Secretary Veronica Moreno (Group B); Executive Secretary Jeffrey Morrisey (Group B); Executive Assistant Gina Newton (Group B); Coordinator Clayton Novack (Group B); Executive Secretary Janelis Perez (Group B); Administrative Assistant Diana Pico (Group B); Executive Secretary Kate Resto (Group B); Press Secretary Edna (Rose) Ryan (Group B); Executive Administrative Assistant Regine Thurin (Group B); Administrative Assistant Carla Verdacias (Group B);and Executive Secretary Angeal Wagner (Group B).  No decision has been made regarding whether the individuals in this classification or group are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, necessary, following the election.","VOTING GROUP B – NON-PROFESSIONAL EMPLOYEES
All full-time and regular part-time in-house non-professional staff employees employed by the Employer, but excluding all other employees, professional employees, elected and appointed officers, organizing staff, field staff, joint employees/contract administrators, temporary employees, casual employees, confidential employees, guards, managerial employees and supervisors as defined by the Act.

Others permitted to vote:  The parties have agreed that the following individuals may vote in the election but their ballots will be challenged since their eligibility has not yet been resolved: Executive Secretary Jomaive Alvarez (Group B); Administrative Assistant Crystal Cepeda (Group B); Executive Secretary Jasnery Cruz (Group B); Executive Secretary Virginia Diaz (Group B); Executive Secretary Carlene Gele (Group B); Senior Graphic/Media Coordinator Regina Heimbrich (Group B); Executive Administrative Assistant Julissa Jerez (Group B); Executive Administrative Assistant Delicia Jones-Hodnett (Group B); Executive Secretary Veronica Moreno (Group B); Executive Secretary Jeffrey Morrisey (Group B); Executive Assistant Gina Newton (Group B); Coordinator Clayton Novack (Group B); Executive Secretary Janelis Perez (Group B); Administrative Assistant Diana Pico (Group B); Executive Secretary Kate Resto (Group B); Press Secretary Edna (Rose) Ryan (Group B); Executive Administrative Assistant Regine Thurin (Group B); Administrative Assistant Carla Verdacias (Group B);and Executive Secretary Angeal Wagner (Group B).  No decision has been made regarding whether the individuals in this classification or group are included in, or excluded from, the bargaining unit.  The eligibility or inclusion of these individuals will be resolved, necessary, following the election."
"Region 16, Fort Worth, Texas",16-RC-341702,"Darling Ingredients Inc.",Closed,05/07/2024,06/25/2024,"Certification of Results",Bastrop,TX,A,"Single Labor Organization",Initial,06/14/2024,21,,"International Brotherhood of Teamsters Local Union 657",8,,,,,11,19,,2,,,"INCLUDED: All full-time and regular part-time CDL Drivers (Semi Drivers and Grease Route Drivers) employed by the Employer at its facility located at 264 FM 2336, Bastrop, Texas 78602.

EXCLUDED: Plant employees, Non-CDL Drivers, Dispatchers, Clerical and Administrative employees, Professional employees, Confidential employees, Managerial employees, Guards, and Supervisors as defined in the Act.

OTHERS PERMITTED TO VOTE: The parties have agreed that the Mechanic/Backup CDL Drivers employed by the Employer at its facility located at 264 FM 2336, Bastrop, Texas 78602 may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision had been made regarding whether the individuals in this classification are included in, or excluded from, the bargaining unit. The eligibility or inclusion of those individuals will be resolved, if necessary, following the election.",,,
"Region 02, New York, New York",02-RC-342471,"The Winchendon School NYC",Closed,05/17/2024,06/24/2024,"Certific. of Representative","New York",NY,A,"Single Labor Organization",Initial,06/14/2024,15,,"United Federation of Teachers, AFT, AFL-CIO, Local 2",9,,,,,2,11,,2,,"United Federation of Teachers, AFT, AFL-CIO, Local 2","INCLUDED: All full-time and regular part-time Teachers, Learning Strategists, Coaches, Admissions Assistants, and Theater Managers located at the Employer’s facility at 45 W 34th Street, 5th Floor, New York, NY. 

EXCLUDED: All other employees, including the Head of School, School Deans, the Director of Enrollment Management, non-professional employees, confidential employees, guards, and managerial and supervisory employees as defined in the Act.",,,
"Region 20, San Francisco, California",20-RC-342512,"Jones Lang LaSalle Americas, Inc.",Closed,05/17/2024,06/25/2024,"Certification of Results",Vacaville,CA,A,"Single Labor Organization",Initial,06/14/2024,4,,"International Union of Operating Engineers Stationary Engineers, Local 39, AFL-CIO",3,,,,,1,4,,,,"International Union of Operating Engineers Stationary Engineers, Local 39, AFL-CIO","All full time and part time Planners employed by the Employer at the Genentech facility located at 1000 New Horizon Way, Vacaville, CA 95888 in which the Employer provides facility management services; excluding all other classifications, guards, managers, confidential employees and supervisors as defined by the Act.",,,
"Region 19, Seattle, Washington",19-RC-342590,"Marathon Petroleum Company LP",Closed,05/20/2024,06/25/2024,"Certification of Results",Anacortes,WA,A,"Single Labor Organization",Initial,06/14/2024,15,,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC",10,,,,,4,14,,,,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC","All full-time and regular part-time Lab Technicians employed by the Employer at its facility located at 10200 March's Point Road, Anacortes, WA; excluding all other employees, chemists, office clerical employees, managers, guards and supervisors as defined by the Act.",,,
"Region 19, Seattle, Washington",19-RC-343635,"Starbucks Corporation",Closed,06/04/2024,06/25/2024,"Certific. of Representative",Seattle,WA,A,"Single Labor Organization",Initial,06/14/2024,22,,"Workers United, affiliated with Service Employees International Union",20,,,,,1,21,,,,"Workers United, affiliated with Service Employees International Union","All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its facility located at 2011 7th Avenue # R2, Seattle, WA; excluding all store managers, assistant store managers, office clericals, guards, professional employees and supe
rvisors as defined by the Act, and all other employees.",,,
"Region 16, Fort Worth, Texas",16-RC-343627,"Starbucks Corporation",Closed,06/04/2024,06/24/2024,"Certific. of Representative",Hurst,TX,A,"Single Labor Organization",Initial,06/13/2024,12,,"Workers United",11,,,,,1,12,,,,"Workers United","Included: All full-time and regular part-time Baristas and Shift Supervisors employed by the Employer at its facility located at 1324 West Pipeline Road, Hurst Texas 76053.

Excluded: All store Managers, assistant store manager, office clericals, guards, professional employees and supervisors as defined by the Act, and all other employees.",,,
